Core Depth,measured sample volume cc,CRUC EMPTY      gm,CR + WET SED   gm,wet weight,CR + DRY SED 100C gm,dry weight, water weight,% H2O (wet weight),Dry gm / cc,CR + MIN 550C        gm,LOI,% organics (dry weight),CR + ASH 1000C     gm,carbonates,% carbonates (dry weight),% non-carbonate inorganics (dry weight)
217,1.25,15.1460,16.7981,1.65,15.6467,0.5007,1.1514,69.69,0.4006,15.5843,0.0624,12.46,15.575,0.0093,1.857399641,85.6800
220.5,1.25,14.1198,15.7038,1.58,14.6108,0.4910,1.0930,69.00,0.3928,14.5471,0.0637,12.97,14.5365,0.0106,2.15885947,84.8676
224.5,1.25,14.8490,16.4370,1.59,15.2973,0.4483,1.1397,71.77,0.3586,15.2395,0.0578,12.89,15.2298,0.0097,2.163729645,84.9431
228.5,1.25,15.0001,16.8505,1.85,15.5638,0.5637,1.2867,69.54,0.4510,15.4866,0.0772,13.70,15.4751,0.0115,2.040092248,84.2647
232.5,1.25,14.2234,15.9322,1.71,14.7297,0.5063,1.2025,70.37,0.4050,14.6538,0.0759,14.99,14.6422,0.0116,2.29113174,82.7178
236.5,1.25,16.0968,17.7512,1.65,16.5491,0.4523,1.2021,72.66,0.3618,16.4801,0.0690,15.26,16.4685,0.0116,2.564669467,82.1800
240.5,1.25,16.9351,18.5801,1.65,17.3945,0.4594,1.1856,72.07,0.3675,17.3179,0.0766,16.67,17.3062,0.0117,2.546800174,80.7793
244.5,1.25,17.1279,18.6999,1.57,17.5423,0.4144,1.1576,73.64,0.3315,17.4817,0.0606,14.62,17.4713,0.0104,2.50965251,82.8668
248,1.25,15.7953,17.5712,1.78,16.3181,0.5228,1.2531,70.56,0.4182,16.2440,0.0741,14.17,16.2305,0.0135,2.582249426,83.2441
253.5,1.25,15.2983,17.0815,1.78,15.8067,0.5084,1.2748,71.49,0.4067,15.7332,0.0735,14.46,15.7215,0.0117,2.30133753,83.2415
257.5,1.25,16.8600,18.6070,1.75,17.3943,0.5343,1.2127,69.42,0.4274,17.3247,0.0696,13.03,17.3142,0.0105,1.965188097,85.0084
262,1.25,16.0016,17.6692,1.67,16.4098,0.4082,1.2594,75.52,0.3266,16.3434,0.0664,16.27,16.3338,0.0096,2.351788339,81.3817
265.5,1.25,15.1097,16.7752,1.67,15.5057,0.3960,1.2695,76.22,0.3168,15.4234,0.0823,20.78,15.4133,0.0101,2.550505051,76.6667
269.5,1.25,16.3150,18.0134,1.70,16.7819,0.4669,1.2315,72.51,0.3735,16.7153,0.0666,14.26,16.7051,0.0102,2.184621975,83.5511
273.5,1.25,16.0323,17.6439,1.61,16.4525,0.4202,1.1914,73.93,0.3362,16.3857,0.0668,15.90,16.3753,0.0104,2.475011899,81.6278
281.5,1.25,15.1693,16.7855,1.62,15.6443,0.4750,1.1412,70.61,0.3800,15.5855,0.0588,12.38,15.5737,0.0118,2.484210526,85.1368
282,1.25,16.1743,17.8669,1.69,16.6678,0.4935,1.1991,70.84,0.3948,16.5814,0.0864,17.51,16.5726,0.0088,1.783181358,80.7092
285.5,1.25,16.7732,18.5110,1.74,17.2196,0.4464,1.2914,74.31,0.3571,17.1283,0.0913,20.45,17.1168,0.0115,2.576164875,76.9713
291.5,1.25,16.5521,18.2280,1.68,17.0811,0.5290,1.1469,68.43,0.4232,17.0113,0.0698,13.19,16.9977,0.0136,2.570888469,84.2344
294.5,1.25,15.6820,17.3772,1.70,16.1916,0.5096,1.1856,69.94,0.4077,16.1128,0.0788,15.46,16.0989,0.0139,2.727629513,81.8093
299.5,1.25,16.0781,17.8043,1.73,16.6251,0.5470,1.1792,68.31,0.4376,16.5504,0.0747,13.66,16.5379,0.0125,2.285191956,84.0585
303.5,1.25,15.9691,17.7906,1.82,16.6424,0.6733,1.1482,63.04,0.5386,16.5679,0.0745,11.06,16.5541,0.0138,2.049606416,86.8855
310.5,1.25,15.9783,17.5508,1.57,16.5000,0.5217,1.0508,66.82,0.4174,16.4408,0.0592,11.35,16.4292,0.0116,2.223500096,86.4290
317,1.25,15.1828,16.9855,1.80,15.8016,0.6188,1.1839,65.67,0.4950,15.7293,0.0723,11.68,15.7153,0.0140,2.262443439,86.0537
325,1.25,14.9109,16.7041,1.79,15.4469,0.5360,1.2572,70.11,0.4288,15.3783,0.0686,12.80,15.364,0.0143,2.667910448,84.5336
329,1.25,16.2143,18.0007,1.79,16.7617,0.5474,1.2390,69.36,0.4379,16.6902,0.0715,13.06,16.677,0.0132,2.411399342,84.5269
331.5,1.25,16.1846,17.8651,1.68,16.6104,0.4258,1.2547,74.66,0.3406,16.5244,0.0860,20.20,16.513,0.0114,2.677313293,77.1254
332.5,1.25,15.6292,17.2156,1.59,16.0109,0.3817,1.2047,75.94,0.3054,15.9383,0.0726,19.02,15.927,0.0113,2.960440136,78.0194
337,1.25,15.1761,16.9458,1.77,15.6988,0.5227,1.2470,70.46,0.4182,15.6293,0.0695,13.30,15.6157,0.0136,2.60187488,84.1018
341,1.25,14.5366,16.2711,1.73,15.0354,0.4988,1.2357,71.24,0.3990,14.9645,0.0709,14.21,14.9526,0.0119,2.385725742,83.4002
345,1.25,16.5615,18.2216,1.66,16.9807,0.4192,1.2409,74.75,0.3354,16.9075,0.0732,17.46,16.8957,0.0118,2.814885496,79.7233
349,1.25,15.9772,17.6428,1.67,16.4744,0.4972,1.1684,70.15,0.3978,16.4108,0.0636,12.79,16.398,0.0128,2.574416734,84.6340
353,1.25,15.9783,17.7031,1.72,16.4696,0.4913,1.2335,71.52,0.3930,16.4105,0.0591,12.03,16.3994,0.0111,2.259312029,85.7114
357,1.25,15.1907,16.8718,1.68,15.6628,0.4721,1.2090,71.92,0.3777,15.6038,0.0590,12.50,15.5915,0.0123,2.605380216,84.8973
361,1.25,14.9177,16.6465,1.73,15.3766,0.4589,1.2699,73.46,0.3671,15.3074,0.0692,15.08,15.2947,0.0127,2.76748747,82.1530
369.5,1.25,16.7985,18.5678,1.77,17.3326,0.5341,1.2352,69.81,0.4273,17.2616,0.0710,13.29,17.247,0.0146,2.733570492,83.9730
377,1.25,15.6595,17.3754,1.72,16.1459,0.4864,1.2295,71.65,0.3891,16.0943,0.0516,10.61,16.0807,0.0136,2.796052632,86.5954
381,1.25,17.7036,19.4223,1.72,18.1916,0.4880,1.2307,71.61,0.3904,18.1194,0.0722,14.80,18.1078,0.0116,2.37704918,82.8279
385,1.25,14.7604,16.3196,1.56,15.1717,0.4113,1.1479,73.62,0.3290,15.0888,0.0829,20.16,15.078,0.0108,2.625820569,77.2186
393,1.25,17.8053,19.5121,1.71,18.3573,0.5520,1.1548,67.66,0.4416,18.2752,0.0821,14.87,18.2631,0.0121,2.192028986,82.9348
397,1.25,15.6068,17.3246,1.72,16.1397,0.5329,1.1849,68.98,0.4263,16.0732,0.0665,12.48,16.062,0.0112,2.101707637,85.4194
400.5,1.25,16.5821,18.4253,1.84,17.2618,0.6797,1.1635,63.12,0.5438,17.1899,0.0719,10.58,17.1763,0.0136,2.000882742,87.4209
